"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2015","17,65","17,76","17,76","17,43","5,18M","-0,28%"
"29.12.2015","17,70","17,40","17,73","17,30","3,30M","2,08%"
"28.12.2015","17,34","17,59","17,59","17,27","1,92M","-1,42%"
"25.12.2015","17,59","17,60","17,64","17,45","1,71M","-0,11%"
"24.12.2015","17,61","17,71","17,72","17,52","2,49M","-0,51%"
"23.12.2015","17,70","17,76","17,93","17,64","4,07M","0,11%"
"22.12.2015","17,68","17,60","18,00","17,52","8,57M","0,45%"
"21.12.2015","17,60","17,22","17,68","17,18","5,70M","3,23%"
"18.12.2015","17,05","18,20","18,25","17,05","10,65M","-6,83%"
"17.12.2015","18,30","17,93","18,30","17,84","13,70M","1,95%"
"16.12.2015","17,95","17,40","17,95","17,29","6,06M","3,22%"
"15.12.2015","17,39","17,10","17,43","17,00","4,56M","2,17%"
"14.12.2015","17,02","17,05","17,25","16,82","8,02M","-0,58%"
"11.12.2015","17,12","16,92","17,12","16,75","5,88M","0,94%"
"10.12.2015","16,96","17,43","17,43","16,96","4,98M","-1,68%"
"09.12.2015","17,25","17,31","17,63","17,07","10,92M","-0,98%"
"08.12.2015","17,42","17,21","17,42","17,02","4,39M","0,35%"
"07.12.2015","17,36","17,84","17,85","17,20","6,63M","-2,03%"
"04.12.2015","17,72","18,35","18,45","17,45","8,67M","-3,43%"
"03.12.2015","18,35","17,80","18,47","17,73","8,14M","3,15%"
"02.12.2015","17,79","17,77","17,99","17,70","4,20M","0,23%"
"01.12.2015","17,75","17,75","17,78","17,55","4,60M","0,51%"
"30.11.2015","17,66","17,57","17,71","17,46","4,39M","0,17%"
"27.11.2015","17,63","17,73","17,86","17,41","5,98M","-0,79%"
"26.11.2015","17,77","17,89","17,95","17,61","5,04M","0,23%"
"25.11.2015","17,73","17,81","17,94","17,45","7,25M","0,51%"
"24.11.2015","17,64","17,75","17,99","17,30","12,17M","-0,51%"
"23.11.2015","17,73","17,44","17,80","17,32","8,18M","2,25%"
"20.11.2015","17,34","17,28","17,65","17,05","9,31M","0,81%"
"19.11.2015","17,20","17,35","17,70","17,16","13,36M","-0,58%"
"18.11.2015","17,30","17,05","17,48","17,05","8,08M","1,76%"
"17.11.2015","17,00","16,90","17,45","16,71","15,61M","1,19%"
"16.11.2015","16,80","16,15","16,89","15,97","8,00M","4,35%"
"13.11.2015","16,10","16,46","16,55","16,00","8,95M","-2,37%"
"12.11.2015","16,49","16,77","16,80","16,44","8,85M","-1,26%"
"11.11.2015","16,70","17,02","17,10","16,54","10,12M","-2,00%"
"10.11.2015","17,04","17,57","17,59","16,90","9,60M","-2,68%"
"09.11.2015","17,51","17,80","17,80","17,49","5,18M","-1,13%"
"06.11.2015","17,71","17,75","17,88","17,64","5,52M","0,40%"
"05.11.2015","17,64","17,72","18,04","17,64","16,18M","-0,34%"
"03.11.2015","17,70","17,74","18,00","17,68","6,35M","-0,67%"
"02.11.2015","17,82","17,76","18,30","17,73","14,32M","0,91%"
"30.10.2015","17,66","17,57","17,77","17,54","4,51M","0,23%"
"29.10.2015","17,62","17,83","17,84","17,60","3,63M","-1,18%"
"28.10.2015","17,83","17,91","18,15","17,71","7,14M","-0,83%"
"27.10.2015","17,98","17,78","17,98","17,64","6,05M","0,73%"
"26.10.2015","17,85","17,65","17,98","17,57","5,72M","0,68%"
"23.10.2015","17,73","17,72","17,95","17,61","6,46M","0,28%"
"22.10.2015","17,68","17,97","17,97","17,65","4,47M","-1,34%"
"21.10.2015","17,92","17,76","18,00","17,70","7,14M","0,11%"
"20.10.2015","17,90","18,05","18,10","17,80","11,25M","-0,83%"
"19.10.2015","18,05","18,54","18,69","17,95","9,31M","-2,27%"
"16.10.2015","18,47","18,59","18,98","18,36","10,50M","-0,11%"
"15.10.2015","18,49","18,63","18,92","18,35","4,70M","-0,59%"
"14.10.2015","18,60","19,03","19,03","18,58","4,27M","-1,33%"
"13.10.2015","18,85","18,70","19,12","18,57","9,09M","0,75%"
"12.10.2015","18,71","18,50","18,84","18,33","7,83M","0,86%"
"09.10.2015","18,55","18,09","18,64","17,93","10,56M","3,23%"
"08.10.2015","17,97","18,09","18,10","17,62","8,13M","-0,28%"
"07.10.2015","18,02","17,79","18,13","17,57","9,27M","1,52%"
"06.10.2015","17,75","17,92","17,94","17,53","5,68M","-0,50%"
"05.10.2015","17,84","17,79","18,03","17,71","7,30M","1,13%"
"02.10.2015","17,64","18,11","18,43","17,43","10,33M","-3,40%"
"01.10.2015","18,26","18,45","18,51","18,06","4,89M","-0,76%"
"30.09.2015","18,40","18,10","18,46","17,91","8,70M","1,60%"
"29.09.2015","18,11","18,48","18,58","18,01","7,70M","-1,58%"
"28.09.2015","18,40","18,58","18,85","18,34","4,61M","-1,39%"
"25.09.2015","18,66","18,37","18,92","18,37","5,34M","1,58%"
"24.09.2015","18,37","18,68","18,72","18,30","3,19M","-1,24%"
"23.09.2015","18,60","18,67","18,87","18,45","8,22M","-0,21%"
"22.09.2015","18,64","18,43","18,74","18,20","9,65M","1,58%"
"21.09.2015","18,35","18,22","18,75","18,22","10,55M","1,38%"
"18.09.2015","18,10","19,05","19,25","18,10","29,98M","-4,79%"
"17.09.2015","19,01","19,38","19,45","18,80","14,09M","-2,21%"
"16.09.2015","19,44","19,51","19,69","19,35","6,62M","-0,15%"
"15.09.2015","19,47","19,59","19,65","19,30","7,48M","-0,61%"
"14.09.2015","19,59","19,61","19,71","19,37","7,58M","0,05%"
"11.09.2015","19,58","19,69","19,77","19,42","4,39M","-0,51%"
"10.09.2015","19,68","19,65","19,77","19,47","4,90M","-0,15%"
"09.09.2015","19,71","19,97","20,00","19,65","3,82M","-0,81%"
"08.09.2015","19,87","19,69","20,05","19,66","5,33M","1,12%"
"07.09.2015","19,65","19,51","19,81","19,51","3,68M","0,20%"
"04.09.2015","19,61","19,91","19,95","19,39","7,48M","-1,21%"
"03.09.2015","19,85","19,90","20,09","19,62","15,29M","0,15%"
"02.09.2015","19,82","19,71","20,14","19,70","4,54M","0,25%"
"01.09.2015","19,77","19,95","20,03","19,72","4,73M","-1,84%"
"31.08.2015","20,14","19,85","20,14","19,51","6,17M","0,95%"
"28.08.2015","19,95","20,10","20,17","19,75","3,94M","-0,05%"
"27.08.2015","19,96","20,11","20,17","19,71","3,80M","0,81%"
